episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
2,11,762.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.71,15.14,7,7,19,0.413,0.1514,0.35,0.0413,-0.0757,-0.07,0.0124,0.0,-0.1333,-0.0739,-0.0817,0.995,46
2,12,808.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,15.14,15.29,7,7,20,0.4348,0.1529,0.35,0.0435,-0.0764,-0.07,0.013,0.0,-0.1334,-0.0817,-0.0887,0.995,46
2,13,904.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,15.29,41.43,7,7,42,0.4375,0.4143,0.35,0.0437,-0.2071,-0.07,0.0131,0.0,-0.264,-0.1168,-0.1355,0.995,96
2,14,950.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,41.43,16.0,7,7,19,0.413,0.16,0.35,0.0413,-0.08,-0.07,0.0124,0.0,-0.1376,-0.0807,-0.0883,0.995,46
2,15,976.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,16.0,6.76,7,8,8,0.3077,0.0676,0.4,0.0308,-0.0338,-0.08,0.0092,0.0,-0.1046,-0.0206,-0.0309,0.995,26
2,16,1022.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,6.76,15.43,8,7,18,0.3913,0.1543,0.35,0.0391,-0.0771,-0.07,0.0117,0.0,-0.1354,-0.0887,-0.0961,0.995,46
2,17,1088.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.43,25.43,7,7,15,0.2273,0.2543,0.35,0.0227,-0.1271,-0.07,0.0068,0.0,-0.1903,-0.0813,-0.0961,0.995,66
2,18,1154.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,25.43,26.71,7,7,15,0.2273,0.2671,0.35,0.0227,-0.1336,-0.07,0.0068,0.0,-0.1968,-0.1333,-0.1436,0.995,66
2,19,1200.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.71,16.71,7,7,10,0.2174,0.1671,0.35,0.0217,-0.0836,-0.07,0.0065,0.0,-0.147,-0.0883,-0.0969,0.995,46
2,20,1246.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.71,17.57,7,7,10,0.2174,0.1757,0.35,0.0217,-0.0879,-0.07,0.0065,0.0,-0.1513,-0.0961,-0.1044,0.995,46
2,21,1272.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,17.57,6.14,7,6,5,0.1923,0.0614,0.3,0.0192,-0.0307,-0.06,0.0058,0.0,-0.0849,-0.0309,-0.0391,0.995,26
2,22,1368.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,6.14,41.0,6,7,23,0.2396,0.41,0.35,0.024,-0.205,-0.07,0.0072,0.0,-0.2678,-0.1355,-0.1526,0.995,96
2,23,1394.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,41.0,6.14,7,7,5,0.1923,0.0614,0.35,0.0192,-0.0307,-0.07,0.0058,0.0,-0.0949,-0.0435,-0.0522,0.995,26
2,24,1420.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,6.14,7.29,7,7,4,0.1538,0.0729,0.35,0.0154,-0.0364,-0.07,0.0046,0.0,-0.1018,-0.0391,-0.0488,0.995,26
2,25,1516.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,7.29,41.71,7,7,22,0.2292,0.4171,0.35,0.0229,-0.2086,-0.07,0.0069,0.0,-0.2717,-0.1526,-0.1692,0.995,96
2,26,1542.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,41.71,6.71,7,7,5,0.1923,0.0671,0.35,0.0192,-0.0336,-0.07,0.0058,0.0,-0.0978,-0.0522,-0.0611,0.995,26
2,27,1608.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,6.71,27.14,7,7,15,0.2273,0.2714,0.35,0.0227,-0.1357,-0.07,0.0068,0.0,-0.1989,-0.0961,-0.1119,0.995,66
2,28,1704.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,27.14,41.57,7,7,22,0.2292,0.4157,0.35,0.0229,-0.2079,-0.07,0.0069,0.0,-0.271,-0.1743,-0.1894,0.995,96
2,29,1730.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,41.57,7.57,7,7,4,0.1538,0.0757,0.35,0.0154,-0.0379,-0.07,0.0046,0.0,-0.1032,-0.0611,-0.0697,0.995,26
2,30,1796.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,7.57,26.14,7,7,15,0.2273,0.2614,0.35,0.0227,-0.1307,-0.07,0.0068,0.0,-0.1939,-0.1119,-0.1264,0.995,66
2,31,1842.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.14,15.86,7,7,10,0.2174,0.1586,0.35,0.0217,-0.0793,-0.07,0.0065,0.0,-0.1428,-0.0969,-0.1059,0.995,46
2,32,1908.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.86,26.71,7,7,14,0.2121,0.2671,0.35,0.0212,-0.1336,-0.07,0.0064,0.0,-0.1972,-0.1264,-0.1397,0.995,66
2,33,1934.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.71,5.14,7,6,5,0.1923,0.0514,0.3,0.0192,-0.0257,-0.06,0.0058,0.0,-0.0799,-0.0697,-0.0752,0.995,26
2,34,1960.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,5.14,6.43,6,7,5,0.1923,0.0643,0.35,0.0192,-0.0321,-0.07,0.0058,0.0,-0.0964,-0.0488,-0.058,0.995,26
2,35,2026.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,6.43,26.86,7,7,15,0.2273,0.2686,0.35,0.0227,-0.1343,-0.07,0.0068,0.0,-0.1975,-0.1397,-0.1523,0.995,66
2,36,2052.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.86,5.71,7,6,5,0.1923,0.0571,0.3,0.0192,-0.0286,-0.06,0.0058,0.0,-0.0828,-0.0752,-0.0811,0.995,26
2,37,2098.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,5.71,16.43,6,7,10,0.2174,0.1643,0.35,0.0217,-0.0821,-0.07,0.0065,0.0,-0.1456,-0.1044,-0.1138,0.995,46
2,38,2194.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,16.43,40.14,7,7,23,0.2396,0.4014,0.35,0.024,-0.2007,-0.07,0.0072,0.0,-0.2635,-0.1692,-0.186,0.995,96
2,39,2290.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,40.14,40.29,7,7,23,0.2396,0.4029,0.35,0.024,-0.2014,-0.07,0.0072,0.0,-0.2642,-0.1894,-0.2042,0.995,96
2,40,2356.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,40.29,25.43,7,7,15,0.2273,0.2543,0.35,0.0227,-0.1271,-0.07,0.0068,0.0,-0.1903,-0.1436,-0.1556,0.995,66
2,41,2422.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,25.43,26.29,7,7,15,0.2273,0.2629,0.35,0.0227,-0.1314,-0.07,0.0068,0.0,-0.1946,-0.1556,-0.1668,0.995,66
2,42,2488.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.29,27.29,7,7,15,0.2273,0.2729,0.35,0.0227,-0.1364,-0.07,0.0068,0.0,-0.1996,-0.1668,-0.1774,0.995,66
2,43,2584.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,27.29,40.29,7,7,23,0.2396,0.4029,0.35,0.024,-0.2014,-0.07,0.0072,0.0,-0.2642,-0.2042,-0.2175,0.995,96
2,44,2630.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,40.29,17.5,7,6,10,0.2174,0.175,0.3,0.0217,-0.0875,-0.06,0.0065,0.0,-0.141,-0.1059,-0.1146,0.995,46
2,45,2649.0,Low*Medium*NoStarvation,45,Low*Low*NoStarvation,17.5,0.0,6,0,6,0.0625,0.0,0.0,0.0063,-0.0,-0.0,0.0019,0.0,0.0019,-0.186,-0.1672,0.995,96
3,0,116.0,Low*Low*NoStarvation,30,Medium*Medium*NoStarvation,0.83,26.71,2,7,31,0.4697,0.2671,0.35,0.047,-0.1336,-0.07,0.0141,0.0,-0.1895,-0.0392,-0.0615,0.99,66
3,1,142.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.71,7.0,7,7,10,0.3846,0.07,0.35,0.0385,-0.035,-0.07,0.0115,0.0,-0.0935,-0.0811,-0.0876,0.99,26
3,2,208.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,7.0,26.29,7,7,29,0.4394,0.2629,0.35,0.0439,-0.1314,-0.07,0.0132,0.0,-0.1882,-0.1523,-0.1638,0.99,66
3,3,274.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.29,27.29,7,7,30,0.4545,0.2729,0.35,0.0455,-0.1364,-0.07,0.0136,0.0,-0.1928,-0.1774,-0.1868,0.99,66
3,4,300.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,27.29,7.11,7,8,9,0.3462,0.0711,0.4,0.0346,-0.0355,-0.08,0.0104,0.0,-0.1052,-0.0876,-0.0946,0.99,26
3,5,396.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,7.11,40.57,8,7,44,0.4583,0.4057,0.35,0.0458,-0.2029,-0.07,0.0137,0.0,-0.2591,-0.1672,-0.1849,0.99,96
3,6,462.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,40.57,26.0,7,7,30,0.4545,0.26,0.35,0.0455,-0.13,-0.07,0.0136,0.0,-0.1864,-0.1868,-0.1952,0.99,66
3,7,558.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,26.0,41.29,7,7,43,0.4479,0.4129,0.35,0.0448,-0.2064,-0.07,0.0134,0.0,-0.263,-0.2175,-0.2306,0.99,96
3,8,604.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,41.29,15.43,7,7,19,0.413,0.1543,0.35,0.0413,-0.0771,-0.07,0.0124,0.0,-0.1348,-0.1146,-0.1219,0.99,46
3,9,630.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,15.43,5.86,7,7,9,0.3462,0.0586,0.35,0.0346,-0.0293,-0.07,0.0104,0.0,-0.0889,-0.058,-0.0663,0.99,26
3,10,726.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,5.86,40.29,7,7,43,0.4479,0.4029,0.35,0.0448,-0.2014,-0.07,0.0134,0.0,-0.258,-0.1849,-0.2007,0.99,96
3,11,792.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,40.29,26.86,7,7,28,0.4242,0.2686,0.35,0.0424,-0.1343,-0.07,0.0127,0.0,-0.1916,-0.1952,-0.2034,0.99,66
3,12,818.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.86,6.43,7,7,10,0.3846,0.0643,0.35,0.0385,-0.0321,-0.07,0.0115,0.0,-0.0906,-0.0946,-0.1001,0.99,26
3,13,884.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,6.43,26.14,7,7,29,0.4394,0.2614,0.35,0.0439,-0.1307,-0.07,0.0132,0.0,-0.1875,-0.1638,-0.1751,0.99,66
3,14,950.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.14,25.43,7,7,28,0.4242,0.2543,0.35,0.0424,-0.1271,-0.07,0.0127,0.0,-0.1844,-0.2034,-0.2105,0.99,66
3,15,1046.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,25.43,42.14,7,7,33,0.3438,0.4214,0.35,0.0344,-0.2107,-0.07,0.0103,0.0,-0.2704,-0.2306,-0.2436,0.99,96
