step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
20,796.0,36,12.00,2.00,51.00,20,10,7,1,8,15,0.4167,0.8440,0.1111,0.4167,0.0,0.5692
21,832.0,36,13.00,0.00,54.00,20,10,7,0,7,14,0.3889,0.8349,0.2222,0.3889,0.0,0.5785
22,868.0,36,14.00,1.00,52.00,20,10,7,1,8,13,0.3611,0.8410,0.1111,0.3611,0.0,0.5510
23,904.0,36,11.00,0.00,41.00,20,10,7,0,7,15,0.4167,0.8746,0.2222,0.4167,0.0,0.6068
24,940.0,36,11.00,1.00,36.00,20,10,6,1,7,14,0.3889,0.8899,0.2222,0.3889,0.0,0.6061
25,976.0,36,12.00,0.00,50.00,20,10,7,0,7,15,0.4167,0.8471,0.2222,0.4167,0.0,0.5930
26,1012.0,36,11.00,2.00,43.00,20,10,7,1,8,16,0.4444,0.8685,0.1111,0.4444,0.0,0.5898
27,1048.0,36,13.00,2.00,53.00,20,10,7,1,8,13,0.3611,0.8379,0.1111,0.3611,0.0,0.5495
28,1084.0,36,11.00,0.00,44.00,20,10,7,0,7,15,0.4167,0.8654,0.2222,0.4167,0.0,0.6022
29,1120.0,36,13.00,0.00,46.00,20,10,7,0,7,15,0.4167,0.8593,0.2222,0.4167,0.0,0.5991
30,1156.0,36,13.00,1.00,39.00,20,10,6,1,7,15,0.4167,0.8807,0.2222,0.4167,0.0,0.6098
31,1192.0,36,13.00,2.00,54.00,20,10,7,1,8,14,0.3889,0.8349,0.1111,0.3889,0.0,0.5563
32,1228.0,36,12.00,0.00,44.00,20,10,6,0,6,12,0.3333,0.8654,0.3333,0.3333,0.0,0.5994
33,1264.0,36,11.00,0.00,44.00,20,10,7,0,7,10,0.2778,0.8654,0.2222,0.2778,0.0,0.5605
34,1300.0,36,11.00,0.00,41.00,20,10,6,0,6,10,0.2778,0.8746,0.3333,0.2778,0.0,0.5873
35,1336.0,36,13.00,0.00,48.00,20,10,7,0,7,10,0.2778,0.8532,0.2222,0.2778,0.0,0.5544
36,1372.0,36,12.00,0.00,39.00,20,10,6,0,6,10,0.2778,0.8807,0.3333,0.2778,0.0,0.5904
37,1408.0,36,14.00,0.00,55.00,20,10,7,0,7,9,0.2500,0.8318,0.2222,0.2500,0.0,0.5353
38,1444.0,36,11.00,0.00,35.00,20,10,6,0,6,10,0.2778,0.8930,0.3333,0.2778,0.0,0.5965
39,1480.0,36,12.00,0.00,44.00,20,10,7,0,7,10,0.2778,0.8654,0.2222,0.2778,0.0,0.5605
40,1516.0,36,12.00,0.00,43.00,20,10,6,0,6,10,0.2778,0.8685,0.3333,0.2778,0.0,0.5843
41,1552.0,36,11.00,0.00,40.00,20,10,6,0,6,10,0.2778,0.8777,0.3333,0.2778,0.0,0.5888
42,1588.0,36,11.00,0.00,35.00,20,10,6,0,6,10,0.2778,0.8930,0.3333,0.2778,0.0,0.5965
43,1624.0,36,11.00,0.00,36.00,20,10,6,0,6,10,0.2778,0.8899,0.3333,0.2778,0.0,0.5950
