decision_step,sim_time,state,chosen_action_id,we_green_time,ns_green_time,active_phase,we_queue_length,ns_queue_length,we_max_wait,ns_max_wait,total_waiting_time
62,2292,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,52.0
62,2305,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,52.0
63,2328,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,51.0
63,2341,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,51.0
64,2364,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,43.0
64,2377,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,43.0
65,2400,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,11.0,0.0,42.0
65,2413,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,11.0,0.0,42.0
66,2436,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,43.0
66,2449,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,43.0
67,2472,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,43.0
67,2485,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,43.0
68,2508,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,14.0,0.0,54.0
68,2521,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,14.0,0.0,54.0
69,2544,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,48.0
69,2557,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,48.0
70,2580,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,11.0,0.0,36.0
70,2593,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,11.0,0.0,36.0
71,2616,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,50.0
71,2629,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,50.0
72,2652,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,47.0
72,2665,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,47.0
73,2688,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,41.0
73,2701,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,41.0
74,2724,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,47.0
74,2737,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,47.0
75,2760,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,10.0,0.0,38.0
75,2773,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,10.0,0.0,38.0
76,2796,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,12.0,0.0,42.0
76,2809,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,12.0,0.0,42.0
77,2832,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,48.0
77,2845,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,48.0
78,2868,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,54.0
78,2881,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,54.0
79,2904,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,42.0
79,2917,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,42.0
80,2940,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,45.0
80,2953,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,45.0
81,2976,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,12.0,0.0,38.0
81,2989,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,12.0,0.0,38.0
82,3012,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,12.0,0.0,43.0
82,3025,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,12.0,0.0,43.0
83,3048,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,43.0
83,3061,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,43.0
84,3084,High*Low*NoStarvation,1,20,10,WE_GREEN,6,0,11.0,0.0,32.0
84,3097,High*Low*NoStarvation,1,20,10,NS_GREEN,6,0,11.0,0.0,32.0
85,3120,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,51.0
85,3133,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,51.0
86,3156,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,10.0,0.0,38.0
86,3169,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,10.0,0.0,38.0
87,3192,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,13.0,0.0,54.0
87,3205,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,13.0,0.0,54.0
88,3228,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,47.0
88,3241,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,12.0,0.0,47.0
89,3261,Medium*Low*NoStarvation,7,30,30,WE_GREEN,5,0,11.0,0.0,42.0
