step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
79,2920.0,36,13.00,0.00,45.00,20,10,7,0,7,10,0.2778,0.8624,0.2222,0.2778,0.0,0.5590
80,2956.0,36,12.00,0.00,38.00,20,10,6,0,6,10,0.2778,0.8838,0.3333,0.2778,0.0,0.5919
81,2992.0,36,12.00,0.00,43.00,20,10,6,0,6,10,0.2778,0.8685,0.3333,0.2778,0.0,0.5843
82,3028.0,36,12.00,0.00,43.00,20,10,7,0,7,10,0.2778,0.8685,0.2222,0.2778,0.0,0.5620
83,3064.0,36,11.00,0.00,32.00,20,10,6,0,6,10,0.2778,0.9021,0.3333,0.2778,0.0,0.6011
84,3100.0,36,12.00,0.00,51.00,20,10,7,0,7,10,0.2778,0.8440,0.2222,0.2778,0.0,0.5498
85,3136.0,36,10.00,0.00,38.00,20,10,7,0,7,10,0.2778,0.8838,0.2222,0.2778,0.0,0.5697
86,3172.0,36,13.00,0.00,54.00,20,10,7,0,7,10,0.2778,0.8349,0.2222,0.2778,0.0,0.5452
87,3208.0,36,12.00,0.00,47.00,20,10,7,0,7,10,0.2778,0.8563,0.2222,0.2778,0.0,0.5559
88,3244.0,36,11.00,0.00,42.00,20,10,5,0,5,10,0.2778,0.8716,0.4444,0.2778,0.0,0.6080
