step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
76,2952.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
77,2998.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
78,3044.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
79,3090.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
80,3136.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
81,3182.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
82,3228.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
83,3274.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
84,3320.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
85,3366.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
86,3412.0,46,0.00,0.00,0.00,30,10,0,0,0,6,0.1304,1.0000,1.0000,0.1304,0.0,0.7391
87,3458.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
88,3504.0,46,0.00,2.00,2.00,30,10,0,1,1,5,0.1087,0.9939,0.8889,0.1087,0.0,0.7073
89,3550.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
