episode,scenario,total_reward,avg_queue,avg_wait,total_throughput
180,route_we_100_ns_1200.rou.xml,50.12758038055955,1.0833333333333333,10.48611111111111,105
196,route_we_1200_ns_100.rou.xml,221.76803183575825,3.090634441087613,20.416918429003022,994
205,route_we_100_ns_1200.rou.xml,56.89153071357642,0.8846153846153846,7.076923076923077,107
221,route_we_1200_ns_100.rou.xml,148.27135636624214,2.8365384615384617,17.572115384615383,1023
230,route_we_100_ns_1200.rou.xml,57.49381308859962,0.8607594936708861,5.582278481012659,102
246,route_we_1200_ns_100.rou.xml,148.1108838860577,2.8525345622119818,18.95852534562212,1018
255,route_we_100_ns_1200.rou.xml,49.94032705130027,1.0833333333333333,9.48611111111111,105
271,route_we_1200_ns_100.rou.xml,151.26090807570455,2.8207547169811322,16.89622641509434,1028
280,route_we_100_ns_1200.rou.xml,57.49381308859962,0.8607594936708861,5.582278481012659,102
296,route_we_1200_ns_100.rou.xml,144.80428993383322,2.87192118226601,17.45320197044335,1023
305,route_we_100_ns_1200.rou.xml,53.54371287434845,1.027027027027027,8.527027027027026,102
321,route_we_1200_ns_100.rou.xml,91.12723590543852,3.289855072463768,25.036231884057973,1091
330,route_we_100_ns_1200.rou.xml,51.91191403763403,0.8513513513513513,8.702702702702704,105
346,route_we_1200_ns_100.rou.xml,147.9155432121667,2.7559808612440193,16.784688995215312,1031
355,route_we_100_ns_1200.rou.xml,53.933254762450424,0.7702702702702703,4.72972972972973,101
371,route_we_1200_ns_100.rou.xml,95.73246923549809,3.2836879432624113,23.893617021276597,1092
380,route_we_100_ns_1200.rou.xml,51.551934444238334,1.0135135135135136,8.797297297297296,105
396,route_we_1200_ns_100.rou.xml,143.86968546184036,2.8260869565217392,18.77294685990338,1030
405,route_we_100_ns_1200.rou.xml,58.342946080731615,0.85,5.3625,102
421,route_we_1200_ns_100.rou.xml,146.55402075580818,2.8125,16.701923076923077,1025
430,route_we_100_ns_1200.rou.xml,49.520041940846326,0.8450704225352113,9.253521126760564,103
446,route_we_1200_ns_100.rou.xml,89.43346592169834,3.25531914893617,27.05673758865248,1084
455,route_we_100_ns_1200.rou.xml,51.05692787847706,0.9863013698630136,8.136986301369863,105
471,route_we_1200_ns_100.rou.xml,146.29797825478076,2.8067632850241546,17.652173913043477,1027
480,route_we_100_ns_1200.rou.xml,53.39965406986264,0.9594594594594594,6.837837837837838,101
496,route_we_1200_ns_100.rou.xml,92.85820247280031,3.2627737226277373,23.32846715328467,1090
5,route_we_100_ns_1200.rou.xml,9.781666666666666,1.4857142857142858,31.857142857142858,100
21,route_we_1200_ns_100.rou.xml,65.60166666666663,3.161676646706587,41.18562874251497,1070
30,route_we_100_ns_1200.rou.xml,43.88166666666668,0.7903225806451613,5.467741935483871,105
46,route_we_1200_ns_100.rou.xml,79.52000000000004,3.2582781456953644,30.264900662251655,1094
55,route_we_100_ns_1200.rou.xml,50.67166666666668,1.0138888888888888,7.361111111111111,105
71,route_we_1200_ns_100.rou.xml,137.95166666666677,2.8260869565217392,18.420289855072465,1027
80,route_we_100_ns_1200.rou.xml,51.43333333333334,0.9342105263157895,8.631578947368421,101
96,route_we_1200_ns_100.rou.xml,92.4,3.194244604316547,22.0431654676259,1092
105,route_we_100_ns_1200.rou.xml,47.81666666666667,0.9411764705882353,7.705882352941177,104
121,route_we_1200_ns_100.rou.xml,138.2116666666667,2.80188679245283,19.69811320754717,1031
130,route_we_100_ns_1200.rou.xml,55.92833333333337,0.8987341772151899,6.544303797468355,103
146,route_we_1200_ns_100.rou.xml,126.03166666666674,2.8702702702702703,17.589189189189188,1045
155,route_we_100_ns_1200.rou.xml,46.86666666666669,1.0571428571428572,8.642857142857142,102
171,route_we_1200_ns_100.rou.xml,134.64000000000007,2.7942583732057416,19.425837320574164,1026
180,route_we_100_ns_1200.rou.xml,51.203333333333354,0.8472222222222222,5.472222222222222,101
196,route_we_1200_ns_100.rou.xml,118.99000000000008,2.979057591623037,23.727748691099478,1040
205,route_we_100_ns_1200.rou.xml,51.088333333333345,0.875,5.888888888888889,104
221,route_we_1200_ns_100.rou.xml,141.64333333333346,2.784688995215311,17.47846889952153,1034
230,route_we_100_ns_1200.rou.xml,56.13666666666669,0.8607594936708861,5.582278481012659,102
