Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
297,0,5,2.5,0,0,0,0.0,16.0
298,0,5,2.5,1,0,0,0.0,17.0
299,0,5,2.5,0,0,0,0.0,18.0
300,0,5,2.5,1,0,1,0.0,19.0
301,0,5,2.5,0,0,0,0.0,20.0
302,0,5,2.5,1,0,1,0.0,21.0
303,0,5,2.5,0,0,0,0.0,22.0
304,0,5,2.5,1,0,1,0.0,23.0
305,0,5,2.5,0,0,1,0.0,24.0
306,0,5,2.5,1,0,0,0.0,25.0
307,0,5,2.5,0,0,1,0.0,26.0
308,0,5,2.5,1,0,0,0.0,27.0
309,0,5,2.5,1,0,1,0.0,28.0
310,0,4,2.0,0,0,1,0.0,27.75
311,1,3,1.0,1,0,0,0.2,21.0
312,1,2,0.5,0,0,0,0.4,14.0
313,2,1,0.5,1,0,1,0.67,9.33
314,2,0,1.0,0,0,0,1.0,0.0
315,3,0,1.5,0,0,0,1.5,0.0
316,3,0,1.5,1,0,1,1.71,0.0
317,4,0,2.0,0,0,0,2.29,0.0
318,4,0,2.0,0,1,1,2.86,0.0
319,5,0,2.5,0,0,0,3.57,0.0
320,5,0,2.5,0,1,0,4.29,0.0
321,6,0,3.0,0,0,1,5.14,0.0
322,7,0,3.5,0,1,0,6.14,0.0
323,7,0,3.5,0,0,1,7.14,0.0
324,7,0,3.5,0,1,0,8.14,0.0
325,7,0,3.5,0,0,1,9.14,0.0
326,7,0,3.5,0,1,1,10.14,0.0
327,7,0,3.5,0,0,0,11.14,0.0
328,7,0,3.5,0,1,1,12.14,0.0
329,7,0,3.5,0,0,0,13.14,0.0
330,7,0,3.5,0,1,1,14.14,0.0
331,7,0,3.5,0,0,1,15.14,0.0
332,7,0,3.5,0,1,0,16.14,0.0
333,7,0,3.5,0,0,1,17.14,0.0
334,7,0,3.5,0,1,0,18.14,0.0
335,7,0,3.5,0,0,1,19.14,0.0
336,7,0,3.5,0,1,0,20.14,0.0
337,7,0,3.5,0,0,1,21.14,0.0
338,7,0,3.5,0,1,0,22.14,0.0
339,7,0,3.5,0,0,1,23.14,0.0
340,7,0,3.5,0,1,0,24.14,0.0
341,7,0,3.5,0,0,1,25.14,0.0
342,7,0,3.5,0,1,0,26.14,0.0
343,6,0,3.0,0,0,1,26.17,0.0
344,5,1,2.0,0,1,0,21.83,0.25
345,4,1,1.5,0,0,0,17.5,0.5
346,3,2,0.5,0,1,0,15.8,0.8
347,2,3,0.5,0,0,0,10.6,1.4
348,1,4,1.5,0,0,0,5.4,2.2
349,0,4,2.0,0,0,0,0.0,3.0
350,0,4,2.0,0,0,0,0.0,3.8
351,0,5,2.5,0,0,0,0.0,4.8
352,0,5,2.5,0,0,1,0.0,5.8
353,0,5,2.5,1,0,1,0.0,6.8
354,0,5,2.5,0,0,0,0.0,7.8
355,0,5,2.5,0,0,1,0.0,8.8
356,0,5,2.5,1,0,0,0.0,9.8
357,0,5,2.5,0,0,1,0.0,10.8
358,0,5,2.5,1,0,0,0.0,11.8
359,0,5,2.5,0,0,1,0.0,12.8
360,0,5,2.5,1,0,0,0.0,13.8
361,0,5,2.5,0,0,1,0.0,14.8
362,0,5,2.5,1,0,0,0.0,15.8
363,0,5,2.5,0,0,1,0.0,16.8
364,0,5,2.5,1,0,1,0.0,17.8
365,0,5,2.5,0,0,0,0.0,18.8
366,0,5,2.5,1,0,1,0.0,19.8
367,0,5,2.5,0,0,0,0.0,20.8
368,0,5,2.5,1,0,1,0.0,21.8
369,0,5,2.5,0,0,0,0.0,22.8
370,0,5,2.5,1,0,1,0.0,23.8
371,0,5,2.5,0,0,0,0.0,24.8
372,0,5,2.5,1,0,1,0.0,25.8
373,0,5,2.5,0,0,0,0.0,26.8
374,0,5,2.5,1,0,1,0.0,27.8
