Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
380,2,0,1.0,0,0,0,5.0,0.0
381,3,0,1.5,0,0,0,8.0,0.0
382,3,0,1.5,0,0,0,11.0,0.0
383,3,0,1.5,0,0,0,14.0,0.0
384,4,0,2.0,0,0,0,18.0,0.0
385,5,0,2.5,0,0,1,23.0,0.0
386,6,0,3.0,0,0,0,29.0,0.0
387,6,0,3.0,0,0,1,35.0,0.0
388,7,0,3.5,0,0,0,42.0,0.0
389,7,0,3.5,0,0,1,49.0,0.0
390,7,0,3.5,0,0,0,56.0,0.0
391,6,0,3.0,0,0,0,49.0,0.0
392,5,0,2.5,0,0,0,41.0,0.0
393,4,0,2.0,0,0,0,33.0,0.0
394,3,0,1.5,0,0,0,26.0,0.0
395,2,0,1.0,0,0,0,18.0,0.0
396,1,0,0.5,0,0,0,9.0,0.0
397,0,0,0.0,0,0,0,0.0,0.0
398,0,0,0.0,0,0,0,0.0,0.0
399,0,0,0.0,0,0,1,0.0,0.0
400,0,0,0.0,0,0,0,0.0,0.0
401,0,1,0.5,0,0,1,0.0,1.0
402,0,1,0.5,0,0,0,0.0,2.0
403,0,1,0.5,0,0,1,0.0,3.0
404,0,2,1.0,0,0,0,0.0,1.0
405,1,0,0.5,0,0,1,1.0,0.0
406,2,0,1.0,0,0,0,3.0,0.0
407,2,0,1.0,0,0,1,5.0,0.0
408,3,0,1.5,0,0,0,8.0,0.0
409,4,0,2.0,0,0,0,12.0,0.0
410,4,0,2.0,0,0,0,16.0,0.0
411,5,0,2.5,0,0,1,21.0,0.0
412,5,0,2.5,0,0,0,26.0,0.0
413,5,0,2.5,0,0,1,31.0,0.0
414,7,0,3.5,0,0,0,38.0,0.0
415,7,0,3.5,0,0,1,45.0,0.0
416,7,0,3.5,0,0,0,52.0,0.0
417,6,0,3.0,0,0,0,46.0,0.0
418,5,0,2.5,0,0,0,39.0,0.0
419,4,0,2.0,0,0,0,32.0,0.0
420,3,0,1.5,0,0,0,24.0,0.0
421,2,0,1.0,0,0,0,16.0,0.0
422,1,0,0.5,0,0,0,9.0,0.0
423,0,0,0.0,0,0,0,0.0,0.0
424,0,0,0.0,0,0,0,0.0,0.0
425,0,0,0.0,0,0,1,0.0,0.0
426,0,0,0.0,0,0,1,0.0,0.0
427,0,0,0.0,0,0,0,0.0,0.0
428,0,0,0.0,0,0,1,0.0,0.0
429,0,0,0.0,0,0,0,0.0,0.0
430,0,0,0.0,0,0,1,0.0,0.0
431,1,0,0.5,0,0,0,1.0,0.0
432,1,0,0.5,0,0,1,2.0,0.0
433,2,0,1.0,0,0,0,4.0,0.0
434,3,0,1.5,0,0,0,7.0,0.0
435,4,0,2.0,0,0,0,11.0,0.0
436,4,0,2.0,0,0,1,15.0,0.0
437,5,0,2.5,0,0,0,20.0,0.0
438,5,0,2.5,0,0,0,25.0,0.0
439,6,0,3.0,0,0,0,31.0,0.0
440,6,0,3.0,0,0,0,37.0,0.0
441,7,0,3.5,0,0,1,44.0,0.0
442,7,0,3.5,0,0,0,51.0,0.0
443,6,0,3.0,0,0,0,45.0,0.0
444,5,0,2.5,0,0,0,39.0,0.0
445,4,0,2.0,0,0,0,32.0,0.0
446,3,0,1.5,0,0,0,24.0,0.0
447,2,0,1.0,0,0,0,16.0,0.0
448,1,0,0.5,0,0,0,8.0,0.0
449,0,0,0.0,0,0,0,0.0,0.0
450,0,0,0.0,0,0,0,0.0,0.0
451,0,0,0.0,0,0,1,0.0,0.0
452,0,0,0.0,0,0,0,0.0,0.0
