Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
237,4,1,1.5,0,0,0,32.0,1.0
238,3,1,1.0,0,0,0,25.0,2.0
239,2,1,0.5,0,0,0,17.0,3.0
240,1,2,0.5,0,0,0,8.0,5.0
241,0,3,1.5,0,0,0,0.0,8.0
242,0,3,1.5,0,0,0,0.0,11.0
243,0,4,2.0,0,0,1,0.0,15.0
244,0,5,2.5,0,0,0,0.0,20.0
245,0,5,2.5,0,0,1,0.0,25.0
246,0,5,2.5,0,0,1,0.0,30.0
247,0,5,2.5,0,0,0,0.0,35.0
248,0,4,2.0,0,0,1,0.0,28.0
249,0,3,1.5,0,0,0,0.0,22.0
250,1,2,0.5,0,0,1,1.0,15.0
251,2,1,0.5,0,0,0,3.0,8.0
252,2,0,1.0,0,0,0,5.0,0.0
253,2,0,1.0,0,0,0,7.0,0.0
254,3,0,1.5,0,0,0,10.0,0.0
255,4,0,2.0,0,0,1,14.0,0.0
256,5,0,2.5,0,0,0,19.0,0.0
257,6,0,3.0,0,0,1,25.0,0.0
258,6,0,3.0,0,0,0,31.0,0.0
259,7,1,3.0,0,0,1,38.0,1.0
260,7,1,3.0,0,0,0,45.0,2.0
261,6,1,2.5,0,0,1,40.0,3.0
262,5,2,1.5,0,0,0,34.0,5.0
263,4,2,1.0,0,0,0,29.0,7.0
264,3,3,0.0,0,0,0,23.0,10.0
265,2,4,1.0,0,0,0,16.0,14.0
266,1,4,1.5,0,0,0,8.0,18.0
267,0,4,2.0,0,0,0,0.0,22.0
268,0,5,2.5,0,0,0,0.0,27.0
269,0,5,2.5,0,0,1,0.0,32.0
270,0,5,2.5,0,0,0,0.0,37.0
271,0,5,2.5,0,0,1,0.0,42.0
272,0,5,2.5,0,0,0,0.0,47.0
273,1,5,2.0,0,0,1,1.0,52.0
274,1,4,1.5,0,0,0,2.0,41.0
275,2,3,0.5,0,0,1,4.0,31.0
276,3,2,0.5,0,0,0,7.0,21.0
277,3,1,1.0,0,0,0,10.0,10.0
278,3,0,1.5,0,0,0,13.0,0.0
279,4,0,2.0,0,0,0,17.0,0.0
280,4,0,2.0,0,0,1,21.0,0.0
281,5,0,2.5,0,0,0,26.0,0.0
282,6,0,3.0,0,0,0,32.0,0.0
283,7,0,3.5,0,0,1,39.0,0.0
284,7,0,3.5,0,0,1,46.0,0.0
285,7,0,3.5,0,0,0,53.0,0.0
286,7,0,3.5,0,0,1,60.0,0.0
287,6,0,3.0,0,0,0,52.0,0.0
288,5,1,2.0,0,0,1,44.0,1.0
289,4,1,1.5,0,0,0,35.0,2.0
290,3,2,0.5,0,0,0,27.0,4.0
291,2,2,0.0,0,0,0,19.0,6.0
292,1,2,0.5,0,0,0,10.0,8.0
293,0,3,1.5,0,0,0,0.0,11.0
294,0,3,1.5,0,0,0,0.0,14.0
295,0,4,2.0,0,0,1,0.0,18.0
296,0,5,2.5,0,0,0,0.0,23.0
297,0,5,2.5,0,0,1,0.0,28.0
298,0,5,2.5,0,0,0,0.0,33.0
299,0,5,2.5,0,0,1,0.0,38.0
300,1,4,1.5,0,0,0,1.0,30.0
301,2,3,0.5,0,0,1,3.0,22.0
302,3,2,0.5,0,0,0,6.0,15.0
303,3,1,1.0,0,0,0,9.0,8.0
304,4,0,2.0,0,0,0,13.0,0.0
305,4,0,2.0,0,0,0,17.0,0.0
306,5,0,2.5,0,0,1,22.0,0.0
307,6,0,3.0,0,0,0,28.0,0.0
308,6,0,3.0,0,0,1,34.0,0.0
309,7,0,3.5,0,0,0,41.0,0.0
310,7,0,3.5,0,0,1,48.0,0.0
311,7,0,3.5,0,0,0,55.0,0.0
312,7,0,3.5,0,0,1,62.0,0.0
313,6,0,3.0,0,0,0,55.0,0.0
314,5,0,2.5,0,0,1,47.0,0.0
315,4,0,2.0,0,0,0,38.0,0.0
316,3,1,1.0,0,0,0,29.0,1.0
317,2,2,0.0,0,0,0,20.0,3.0
318,1,3,1.0,0,0,0,10.0,6.0
319,0,3,1.5,0,0,0,0.0,9.0
320,0,4,2.0,0,0,0,0.0,13.0
321,0,5,2.5,0,0,1,0.0,18.0
322,0,5,2.5,0,0,0,0.0,23.0
323,0,5,2.5,0,0,1,0.0,28.0
324,0,5,2.5,0,0,1,0.0,33.0
325,0,5,2.5,0,0,0,0.0,38.0
326,0,4,2.0,0,0,1,0.0,32.0
327,0,3,1.5,0,0,0,0.0,25.0
328,1,2,0.5,0,0,0,1.0,17.0
329,1,1,0.0,0,0,1,2.0,9.0
330,2,0,1.0,0,0,0,4.0,0.0
331,3,0,1.5,0,0,0,7.0,0.0
332,3,0,1.5,0,0,0,10.0,0.0
333,4,0,2.0,0,0,1,14.0,0.0
334,5,0,2.5,0,0,0,19.0,0.0
335,5,0,2.5,0,0,1,24.0,0.0
336,6,0,3.0,0,0,0,30.0,0.0
337,6,0,3.0,0,0,1,36.0,0.0
338,7,0,3.5,0,0,1,43.0,0.0
339,6,1,2.5,0,0,0,38.0,1.0
340,5,1,2.0,0,0,0,33.0,2.0
341,4,2,1.0,0,0,0,27.0,4.0
342,3,3,0.0,0,0,0,21.0,7.0
343,2,4,1.0,0,0,0,14.0,11.0
344,1,4,1.5,0,0,0,7.0,15.0
