Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
175,7,0,3.5,0,0,1,26.71,0.0
176,7,0,3.5,0,1,0,27.71,0.0
177,7,0,3.5,0,0,1,28.71,0.0
178,7,0,3.5,0,1,0,29.71,0.0
179,7,0,3.5,0,0,1,30.71,0.0
180,7,0,3.5,0,1,0,31.71,0.0
181,7,0,3.5,0,0,1,32.71,0.0
182,7,0,3.5,0,1,0,33.71,0.0
183,7,0,3.5,0,0,0,34.71,0.0
184,7,0,3.5,0,1,1,35.71,0.0
185,7,0,3.5,0,0,1,36.71,0.0
186,7,0,3.5,0,1,0,37.71,0.0
187,7,0,3.5,0,0,1,38.71,0.0
188,7,0,3.5,0,1,0,39.71,0.0
189,7,0,3.5,0,1,1,40.71,0.0
190,6,0,3.0,0,0,0,41.0,0.0
191,5,0,2.5,0,1,1,34.33,0.0
192,4,1,1.5,0,0,0,27.67,0.25
193,3,1,1.0,0,0,0,25.0,0.5
194,2,2,0.0,0,1,0,16.6,0.8
195,1,3,1.0,0,0,0,10.5,1.4
196,0,3,1.5,0,0,0,0.0,2.0
197,0,4,2.0,0,0,0,0.0,2.8
198,0,5,2.5,0,0,1,0.0,3.8
199,0,5,2.5,0,0,0,0.0,4.8
200,0,5,2.5,1,0,1,0.0,5.8
201,0,5,2.5,0,0,0,0.0,6.8
202,0,5,2.5,1,0,1,0.0,7.8
203,0,5,2.5,0,0,1,0.0,8.8
204,0,5,2.5,0,0,0,0.0,9.8
205,0,5,2.5,1,0,1,0.0,10.8
206,0,5,2.5,0,0,0,0.0,11.8
207,0,5,2.5,1,0,1,0.0,12.8
208,0,5,2.5,0,0,0,0.0,13.8
209,0,5,2.5,1,0,1,0.0,14.8
210,0,5,2.5,0,0,0,0.0,15.8
211,0,5,2.5,1,0,1,0.0,16.8
212,0,5,2.5,0,0,0,0.0,17.8
213,0,5,2.5,1,0,1,0.0,18.8
214,0,5,2.5,0,0,0,0.0,19.8
