episode,timestamp,state,action,we_green,ns_green,we_waiting_time,ns_waiting_time,we_queue,ns_queue,reward
eval_104,2531.0,1_0_0,7,45,20,129.0,0,7,0,-0.7057042253521126
eval_104,2602.0,1_0_0,7,45,20,142.0,0,7,0,-0.7711267605633803
eval_104,2673.0,1_0_0,7,45,20,131.0,0,7,0,-0.7161267605633803
eval_104,2744.0,1_0_0,7,45,20,137.0,0,7,0,-0.7461267605633803
eval_104,2815.0,1_0_0,7,45,20,136.0,0,7,0,-0.7415492957746479
eval_104,2886.0,1_0_0,7,45,20,136.0,0,7,0,-0.7411267605633802
eval_104,2957.0,1_0_0,7,45,20,130.0,0,7,0,-0.7111267605633802
eval_104,3028.0,1_0_0,7,45,20,132.0,0,7,0,-0.7207042253521126
eval_104,3099.0,1_0_0,7,45,20,0,0,0,0,0.004647887323943662
eval_105,46.0,0_0_0,5,20,20,111.0,0.0,7,0,-0.6139130434782609
eval_105,117.0,1_0_0,7,45,20,128.0,0.0,7,0,-0.6969014084507041
eval_105,188.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7064788732394366
eval_105,259.0,1_0_0,7,45,20,148.0,0.0,7,0,-0.7969014084507041
eval_105,330.0,1_0_0,7,45,20,143.0,0.0,7,0,-0.7719014084507041
eval_105,401.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7214788732394366
eval_105,472.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7119014084507042
eval_105,543.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7519014084507041
eval_105,614.0,1_0_0,7,45,20,127.0,0.0,7,0,-0.6914788732394366
eval_105,685.0,1_0_0,7,45,20,142.0,0.0,7,0,-0.7673239436619718
eval_105,756.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_105,827.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_105,898.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7414788732394366
eval_105,969.0,1_0_0,7,45,20,128.0,0.0,7,0,-0.6969014084507041
eval_105,1040.0,1_0_0,7,45,20,146.0,0.0,7,0,-0.7869014084507041
eval_105,1111.0,1_0_0,7,45,20,146.0,0.0,7,0,-0.7869014084507041
eval_105,1182.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7469014084507041
eval_105,1253.0,1_0_0,7,45,20,142.0,0.0,7,0,-0.7673239436619718
eval_105,1324.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7373239436619718
eval_105,1395.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7119014084507042
eval_105,1466.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_105,1537.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7073239436619718
eval_105,1608.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7414788732394366
eval_105,1679.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7069014084507041
eval_105,1750.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7469014084507041
eval_105,1821.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_105,1892.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_105,1963.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_105,2034.0,1_0_0,7,45,20,145.0,0.0,7,0,-0.7819014084507041
eval_105,2105.0,1_0_0,7,45,20,136.0,0,7,0,-0.7373239436619718
eval_105,2176.0,1_0_0,7,45,20,128.0,0,7,0,-0.7011267605633802
eval_105,2247.0,1_0_0,7,45,20,132.0,0,7,0,-0.7211267605633802
eval_105,2318.0,1_0_0,7,45,20,134.0,0,7,0,-0.7311267605633802
eval_105,2389.0,1_0_0,7,45,20,140.0,0,7,0,-0.7615492957746478
eval_105,2460.0,1_0_0,7,45,20,139.0,0,7,0,-0.7561267605633801
eval_105,2531.0,1_0_0,7,45,20,135.0,0,7,0,-0.7365492957746479
eval_105,2602.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_105,2673.0,1_0_0,7,45,20,131.0,0,7,0,-0.7161267605633803
eval_105,2744.0,1_0_0,7,45,20,129.0,0,7,0,-0.7061267605633803
eval_105,2815.0,1_0_0,7,45,20,142.0,0,7,0,-0.7715492957746478
eval_105,2886.0,1_0_0,7,45,20,136.0,0,7,0,-0.7411267605633802
eval_105,2957.0,1_0_0,7,45,20,125.0,0,7,0,-0.6857042253521126
eval_105,3028.0,1_0_0,7,45,20,131.0,0,7,0,-0.7161267605633803
eval_105,3099.0,1_0_0,7,45,20,0,0,0,0,0.005492957746478873
