episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
1,39,2390.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,39.71,25.57,7,7,15,0.2273,0.2557,0.35,0.0227,-0.1279,-0.07,0.0068,0.0,-0.191,-0.0757,-0.0911,1.0,66
1,40,2486.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,25.57,40.43,7,7,23,0.2396,0.4043,0.35,0.024,-0.2021,-0.07,0.0072,0.0,-0.265,-0.0765,-0.0992,1.0,96
1,41,2512.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,40.43,5.14,7,7,5,0.1923,0.0514,0.35,0.0192,-0.0257,-0.07,0.0058,0.0,-0.0899,-0.0428,-0.0498,1.0,26
1,42,2558.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,5.14,16.43,7,7,10,0.2174,0.1643,0.35,0.0217,-0.0821,-0.07,0.0065,0.0,-0.1456,-0.053,-0.0645,1.0,46
1,43,2624.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.43,29.0,7,7,14,0.2121,0.29,0.35,0.0212,-0.145,-0.07,0.0064,0.0,-0.2086,-0.1214,-0.1346,1.0,66
1,44,2648.0,Medium*Medium*NoStarvation,45,Low*Low*NoStarvation,29.0,0.0,7,0,9,0.0938,0.0,0.0,0.0094,-0.0,-0.0,0.0028,0.0,0.0028,-0.0992,-0.089,1.0,96
2,0,146.0,Low*Low*NoStarvation,45,Medium*Medium*NoStarvation,0.83,40.71,2,7,47,0.4896,0.4071,0.35,0.049,-0.2036,-0.07,0.0147,0.0,-0.2589,-0.0259,-0.0537,0.995,96
2,1,172.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,40.71,8.43,7,7,9,0.3462,0.0843,0.35,0.0346,-0.0421,-0.07,0.0104,0.0,-0.1018,-0.0498,-0.0573,0.995,26
2,2,198.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,8.43,5.71,7,7,9,0.3462,0.0571,0.35,0.0346,-0.0286,-0.07,0.0104,0.0,-0.0882,-0.025,-0.0336,0.995,26
2,3,244.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,5.71,16.71,7,7,20,0.4348,0.1671,0.35,0.0435,-0.0836,-0.07,0.013,0.0,-0.1405,-0.0645,-0.0752,0.995,46
2,4,310.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.71,25.05,7,8,32,0.4848,0.2505,0.4,0.0485,-0.1252,-0.08,0.0145,0.0,-0.1907,-0.1346,-0.1453,0.995,66
2,5,356.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,25.05,16.14,8,7,19,0.413,0.1614,0.35,0.0413,-0.0807,-0.07,0.0124,0.0,-0.1383,-0.0824,-0.091,0.995,46
2,6,452.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,16.14,41.57,7,7,43,0.4479,0.4157,0.35,0.0448,-0.2079,-0.07,0.0134,0.0,-0.2644,-0.0997,-0.1213,0.995,96
2,7,518.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,41.57,25.86,7,7,29,0.4394,0.2586,0.35,0.0439,-0.1293,-0.07,0.0132,0.0,-0.1861,-0.0911,-0.1057,0.995,66
2,8,584.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,25.86,25.86,7,7,28,0.4242,0.2586,0.35,0.0424,-0.1293,-0.07,0.0127,0.0,-0.1866,-0.1057,-0.119,0.995,66
2,9,650.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,25.86,26.57,7,7,28,0.4242,0.2657,0.35,0.0424,-0.1329,-0.07,0.0127,0.0,-0.1901,-0.119,-0.1312,0.995,66
