episode,timestamp,state,action,we_green,ns_green,we_waiting_time,ns_waiting_time,we_queue,ns_queue,reward
1,1486.0,1_0_0,1,20,10,39.0,0.0,6,0,-0.24333333333333335
1,1557.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
1,1583.0,1_0_0,0,10,10,56.0,0.0,7,0,-0.33961538461538465
1,1619.0,1_0_0,1,20,10,42.0,0.0,7,0,-0.26749999999999996
1,1690.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
1,1751.0,1_0_0,3,45,10,64.0,0.0,7,0,-0.37721311475409836
1,1777.0,1_0_0,0,10,10,49.0,0.0,7,0,-0.30346153846153845
1,1813.0,1_0_0,4,10,20,115.0,0.0,7,0,-0.6341666666666665
1,1869.0,1_0_0,6,30,20,113.0,0.0,7,0,-0.6210714285714285
1,1915.0,1_0_0,2,30,10,49.0,0.0,7,0,-0.30195652173913046
1,1951.0,1_0_0,1,20,10,44.0,1.0,7,1,-0.2933333333333334
1,1997.0,1_0_0,5,20,20,124.0,0.0,7,0,-0.6782608695652174
1,2068.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7519014084507041
1,2104.0,1_0_0,1,20,10,41.0,0.0,6,0,-0.2525
1,2150.0,1_0_0,2,30,10,53.0,0,7,0,-0.32326086956521743
1,2206.0,1_0_0,6,30,20,115.0,0,7,0,-0.6369642857142856
1,2277.0,1_0_0,7,45,20,134.0,0,7,0,-0.7311267605633802
1,2323.0,1_0_0,5,20,20,105.0,0,7,0,-0.5884782608695652
1,2359.0,1_0_0,4,10,20,118.0,0,7,0,-0.6558333333333333
1,2405.0,1_0_0,2,30,10,52.0,0,7,0,-0.32021739130434784
1,2441.0,1_0_0,1,20,10,44.0,0,7,0,-0.2816666666666666
1,2487.0,1_0_0,5,20,20,114.0,0,7,0,-0.6334782608695652
1,2523.0,1_0_0,4,10,20,114.0,0,7,0,-0.6358333333333333
1,2569.0,1_0_0,5,20,20,116.0,0,7,0,-0.6434782608695652
1,2640.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
1,2686.0,1_0_0,2,30,10,44.0,0,7,0,-0.2802173913043478
1,2747.0,1_0_0,3,45,10,56.0,0,7,0,-0.3391803278688525
1,2808.0,1_0_0,3,45,10,76.0,0,7,0,-0.44016393442622953
1,2869.0,1_0_0,3,45,10,59.0,0,7,0,-0.35418032786885245
1,2940.0,1_0_0,7,45,20,143.0,0,7,0,-0.7761267605633801
1,3001.0,1_0_0,3,45,10,62.0,0,7,0,-0.369672131147541
